method,k,w,av_sq,std_sq,av_tq,std_tq,av_oq,std_oq,av_purity,std_purity
evol,3,0.4,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,0.5,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,0.6000000000000001,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,0.7000000000000001,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,0.8,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,0.9,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,3,1.0,0.8400311509315056,0.026492947330504044,0.99,0.1,0.9150155754657529,0.04479831002249952,0.39762499999999984,0.03750820617282344
evol,4,0.0,0.8513455490798008,0.025571576480435548,0.9069348011183783,0.09916444823018564,0.8791401750990897,0.04605574001982476,0.4500000000000001,0.04588495715296346
evol,4,0.1,0.8596003922010073,0.02264152169124841,0.9510733593846901,0.10996523010920484,0.9053368757928486,0.05041504678033867,0.485125,0.038790708496450096
evol,4,0.2,0.8580595905374454,0.022640258863088535,0.9830412039433254,0.1026551276613544,0.9205503972403853,0.046266529153584916,0.4398749999999999,0.0424433297159134
evol,4,0.30000000000000004,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.4,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.5,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.6000000000000001,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.7000000000000001,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.8,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,0.9,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,4,1.0,0.8431705993476727,0.02601641500760031,0.99,0.1,0.9165852996738362,0.04484244267504044,0.4305000000000001,0.04555078196226424
evol,5,0.0,0.8529414760186037,0.02725057024877112,0.9055683673988186,0.09976811794256328,0.8792549217087113,0.04639098027997664,0.4510000000000002,0.045493922338010924
evol,5,0.1,0.8798286374520007,0.02036995965637343,0.9407482445229192,0.10958973662505819,0.9102884409874599,0.050483001495282995,0.47850000000000004,0.038150089029113585
