method,k,w,av_sq,std_sq,av_tq,std_tq,av_total_score,av_purity,std_purity
moscat,6,0.30000000000000004,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.4,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.5,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.6000000000000001,0.864916573413498,0.01573281619361028,0.9552228489754993,0.1213812811722315,0.9100697111944986,0.5691282051282051,0.07077761760504626
moscat,6,0.7000000000000001,0.864898216270851,0.015737075010152497,0.9551221970059481,0.12104893539095335,0.9100102066383996,0.5685128205128206,0.07257666150266072
moscat,6,0.8,0.864307879898659,0.016150187652962188,0.95697201587712,0.12089959237476143,0.9106399478878895,0.5667179487179486,0.07356141686565078
moscat,6,0.9,0.8255769197416059,0.030980505253563165,0.9836630611469465,0.12399173253396052,0.9046199904442762,0.4964615384615385,0.07419680315411574
moscat,6,1.0,0.8191852273438956,0.029040699347610926,0.9846153846153847,0.12403473458920845,0.9019003059796402,0.49235348597890394,0.07175079405711811
moscat,7,0.0,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
moscat,7,0.1,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
moscat,7,0.2,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
moscat,7,0.30000000000000004,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
moscat,7,0.4,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
moscat,7,0.5,0.8707521060361836,0.014867885723597405,0.9521621344859086,0.12098209531509757,0.9114571202610461,0.5857948717948719,0.08622740630617738
